2019-03-10 05:57:36.701 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/ipam2/user],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.i52soft.lscable.cms.controller.AdminController.ipamuser2()
2019-03-10 05:57:36.702 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/cms2/new],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.i52soft.lscable.cms.controller.AdminController.cmsnew2()
2019-03-10 05:57:36.702 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/cms2/modifySite],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.i52soft.lscable.cms.controller.AdminController.modifySite2()
2019-03-10 05:57:36.702 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/cms2/linkage],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.i52soft.lscable.cms.controller.AdminController.cmslinkage2(javax.servlet.http.HttpSession,int)
2019-03-10 05:57:36.703 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/cms2/view],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.i52soft.lscable.cms.controller.AdminController.cmsview2(java.util.HashMap<java.lang.String, java.lang.String>)
2019-03-10 05:57:36.703 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/ipam2/setting],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.i52soft.lscable.cms.controller.AdminController.ipamsetting2()
2019-03-10 05:57:36.703 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/ipam2/adminNetwork],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.i52soft.lscable.cms.controller.AdminController.ipamNetwork2()
2019-03-10 05:57:36.705 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/cms2/regions],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.i52soft.lscable.cms.controller.AdminController.cmsregions2()
2019-03-10 05:57:36.705 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/setting/modify],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.i52soft.lscable.cms.controller.AdminController.settingmodify(int)
2019-03-10 05:57:36.706 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/setting/adminsysuser],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.i52soft.lscable.cms.controller.AdminController.settingadminsysuer()
2019-03-10 05:57:36.706 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/setting/manage-layout],methods=[GET]}" onto public java.lang.String com.i52soft.lscable.cms.controller.AdminController.settingmanagelayout(java.util.HashMap)
2019-03-10 05:57:36.706 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/setting/map-list],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.i52soft.lscable.cms.controller.AdminController.settingMapList()
2019-03-10 05:57:36.707 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/setting/manage-widget],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.i52soft.lscable.cms.controller.AdminController.settingmanagewidget(java.util.HashMap)
2019-03-10 05:57:36.707 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/cms2/manufacturer],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.i52soft.lscable.cms.controller.AdminController.cmsmanufacturer2()
2019-03-10 05:57:36.707 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/cms2/adminAuth],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.i52soft.lscable.cms.controller.AdminController.cmsadminauth2()
2019-03-10 05:57:36.707 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/setting2/adminsysuser],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.i52soft.lscable.cms.controller.AdminController.settingadminsysuer2()
2019-03-10 05:57:36.708 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/setting2/modify],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.i52soft.lscable.cms.controller.AdminController.settingmodify2(int)
2019-03-10 05:57:36.708 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/cms/manufacturer],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.i52soft.lscable.cms.controller.AdminController.cmsmanufacturer()
2019-03-10 05:57:36.708 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/setting2/map-list],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.i52soft.lscable.cms.controller.AdminController.setting2MapList()
2019-03-10 05:57:36.750 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],methods=[GET]}" onto public java.lang.String com.i52soft.lscable.cms.controller.DefaultController.error()
2019-03-10 05:57:36.751 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/frame1/event],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.i52soft.lscable.cms.controller.DefaultController.event()
2019-03-10 05:57:36.752 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/mainpage],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.i52soft.lscable.cms.controller.DefaultController.mainpage(javax.servlet.http.HttpSession)
2019-03-10 05:57:36.752 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/setting/preview-layout],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.i52soft.lscable.cms.controller.DefaultController.settingpreviewlayout(java.util.HashMap)
2019-03-10 05:57:36.752 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/],methods=[GET]}" onto public java.lang.String com.i52soft.lscable.cms.controller.DefaultController.home()
2019-03-10 05:57:36.753 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/ht/map-widget],methods=[GET]}" onto public java.lang.String com.i52soft.lscable.cms.controller.DefaultController.htmapwidget1()
2019-03-10 05:57:36.753 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/ht-map-widget],methods=[GET]}" onto public java.lang.String com.i52soft.lscable.cms.controller.DefaultController.htmapwidget()
2019-03-10 05:57:36.754 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/ht/dcim-widget],methods=[GET]}" onto public java.lang.String com.i52soft.lscable.cms.controller.DefaultController.htdcimwidget()
